								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  10:24h vs. 100:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  10:24h vs. 100:48h	108/6	101/5	7/082	29/11	3	3	0/3441	66/00
  10:24h vs. 100:72h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  10:48h vs. 10:72h	112/3	130/9	-18/57	29/11	3	3	0/9024	66/00
  10:48h vs. 20:24h	112/3	105/2	7/135	29/11	3	3	0/3466	66/00
  10:48h vs. 20:48h	112/3	112/3	0/000	29/11	3	3	0/000	66/00
  10:48h vs. 20:72h	112/3	127/9	-15/63	29/11	3	3	0/7595	66/00
  10:48h vs. 30:24h	112/3	108/6	3/687	29/11	3	3	0/1791	66/00
  10:48h vs. 30:48h	112/3	112/3	0/000	29/11	3	3	0/000	66/00
  10:48h vs. 30:72h	112/3	117/6	-5/339	29/11	3	3	0/2594	66/00
  10:48h vs. 40:24h	112/3	108/6	3/687	29/11	3	3	0/1791	66/00
  10:48h vs. 40:48h	112/3	109/2	3/077	29/11	3	3	0/1495	66/00
  10:48h vs. 40:72h	112/3	117/6	-5/339	29/11	3	3	0/2594	66/00
  10:48h vs. 50:24h	112/3	105/2	7/135	29/11	3	3	0/3466	66/00
  10:48h vs. 50:48h	112/3	107/7	4/615	29/11	3	3	0/2242	66/00
  10:48h vs. 50:72h	112/3	114/7	-2/398	29/11	3	3	0/1165	66/00
  10:48h vs. 60:24h	112/3	103/4	8/859	29/11	3	3	0/4304	66/00
  10:48h vs. 60:48h	112/3	107/7	4/615	29/11	3	3	0/2242	66/00
  10:48h vs. 60:72h	112/3	110/3	2/014	29/11	3	3	0/09782	66/00
  10:48h vs. 70:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  10:48h vs. 70:48h	112/3	104/6	7/692	29/11	3	3	0/3737	66/00
  10:48h vs. 70:72h	112/3	107/4	4/955	29/11	3	3	0/2407	66/00
  10:48h vs. 80:24h	112/3	98/28	14/03	29/11	3	3	0/6817	66/00
  10:48h vs. 80:48h	112/3	106/2	6/154	29/11	3	3	0/2990	66/00
  10:48h vs. 80:72h	112/3	107/4	4/955	29/11	3	3	0/2407	66/00
  10:48h vs. 90:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  10:48h vs. 90:48h	112/3	104/6	7/692	29/11	3	3	0/3737	66/00
  10:48h vs. 90:72h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  10:48h vs. 100:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  10:48h vs. 100:48h	112/3	101/5	10/77	29/11	3	3	0/5232	66/00
  10:48h vs. 100:72h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  10:72h vs. 20:24h	130/9	105/2	25/71	29/11	3	3	1/249	66/00
  10:72h vs. 20:48h	130/9	112/3	18/57	29/11	3	3	0/9024	66/00
  10:72h vs. 20:72h	130/9	127/9	2/941	29/11	3	3	0/1429	66/00
  10:72h vs. 30:24h	130/9	108/6	22/26	29/11	3	3	1/082	66/00
  10:72h vs. 30:48h	130/9	112/3	18/57	29/11	3	3	0/9024	66/00
  10:72h vs. 30:72h	130/9	117/6	13/24	29/11	3	3	0/6430	66/00
  10:72h vs. 40:24h	130/9	108/6	22/26	29/11	3	3	1/082	66/00
  10:72h vs. 40:48h	130/9	109/2	21/65	29/11	3	3	1/052	66/00
  10:72h vs. 40:72h	130/9	117/6	13/24	29/11	3	3	0/6430	66/00
  10:72h vs. 50:24h	130/9	105/2	25/71	29/11	3	3	1/249	66/00
  10:72h vs. 50:48h	130/9	107/7	23/19	29/11	3	3	1/127	66/00
  10:72h vs. 50:72h	130/9	114/7	16/18	29/11	3	3	0/7859	66/00
  10:72h vs. 60:24h	130/9	103/4	27/43	29/11	3	3	1/333	66/00
  10:72h vs. 60:48h	130/9	107/7	23/19	29/11	3	3	1/127	66/00
  10:72h vs. 60:72h	130/9	110/3	20/59	29/11	3	3	1/000	66/00
  10:72h vs. 70:24h	130/9	100/0	30/88	29/11	3	3	1/500	66/00
  10:72h vs. 70:48h	130/9	104/6	26/27	29/11	3	3	1/276	66/00
  10:72h vs. 70:72h	130/9	107/4	23/53	29/11	3	3	1/143	66/00
  10:72h vs. 80:24h	130/9	98/28	32/61	29/11	3	3	1/584	66/00
  10:72h vs. 80:48h	130/9	106/2	24/73	29/11	3	3	1/201	66/00
  10:72h vs. 80:72h	130/9	107/4	23/53	29/11	3	3	1/143	66/00
  10:72h vs. 90:24h	130/9	100/0	30/88	29/11	3	3	1/500	66/00
  10:72h vs. 90:48h	130/9	104/6	26/27	29/11	3	3	1/276	66/00
  10:72h vs. 90:72h	130/9	100/0	30/88	29/11	3	3	1/500	66/00
  10:72h vs. 100:24h	130/9	100/0	30/88	29/11	3	3	1/500	66/00
  10:72h vs. 100:48h	130/9	101/5	29/34	29/11	3	3	1/426	66/00
  10:72h vs. 100:72h	130/9	100/0	30/88	29/11	3	3	1/500	66/00
  20:24h vs. 20:48h	105/2	112/3	-7/135	29/11	3	3	0/3466	66/00
  20:24h vs. 20:72h	105/2	127/9	-22/77	29/11	3	3	1/106	66/00
  20:24h vs. 30:24h	105/2	108/6	-3/448	29/11	3	3	0/1675	66/00
  20:24h vs. 30:48h	105/2	112/3	-7/135	29/11	3	3	0/3466	66/00
  20:24h vs. 30:72h	105/2	117/6	-12/47	29/11	3	3	0/6061	66/00
  20:24h vs. 40:24h	105/2	108/6	-3/448	29/11	3	3	0/1675	66/00
  20:24h vs. 40:48h	105/2	109/2	-4/058	29/11	3	3	0/1972	66/00
  20:24h vs. 40:72h	105/2	117/6	-12/47	29/11	3	3	0/6061	66/00
  20:24h vs. 50:24h	105/2	105/2	0/000	29/11	3	3	0/000	66/00
  20:24h vs. 50:48h	105/2	107/7	-2/520	29/11	3	3	0/1224	66/00
  20:24h vs. 50:72h	105/2	114/7	-9/533	29/11	3	3	0/4632	66/00
  20:24h vs. 60:24h	105/2	103/4	1/724	29/11	3	3	0/08376	66/00
  20:24h vs. 60:48h	105/2	107/7	-2/520	29/11	3	3	0/1224	66/00
  20:24h vs. 60:72h	105/2	110/3	-5/122	29/11	3	3	0/2488	66/00
  20:24h vs. 70:24h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  20:24h vs. 70:48h	105/2	104/6	0/5570	29/11	3	3	0/02706	66/00
  20:24h vs. 70:72h	105/2	107/4	-2/181	29/11	3	3	0/1059	66/00
  20:24h vs. 80:24h	105/2	98/28	6/897	29/11	3	3	0/3351	66/00
  20:24h vs. 80:48h	105/2	106/2	-0/9814	29/11	3	3	0/04768	66/00
  20:24h vs. 80:72h	105/2	107/4	-2/181	29/11	3	3	0/1059	66/00
  20:24h vs. 90:24h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  20:24h vs. 90:48h	105/2	104/6	0/5570	29/11	3	3	0/02706	66/00
  20:24h vs. 90:72h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  20:24h vs. 100:24h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  20:24h vs. 100:48h	105/2	101/5	3/634	29/11	3	3	0/1765	66/00
  20:24h vs. 100:72h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  20:48h vs. 20:72h	112/3	127/9	-15/63	29/11	3	3	0/7595	66/00
  20:48h vs. 30:24h	112/3	108/6	3/687	29/11	3	3	0/1791	66/00
  20:48h vs. 30:48h	112/3	112/3	0/000	29/11	3	3	0/000	66/00
  20:48h vs. 30:72h	112/3	117/6	-5/339	29/11	3	3	0/2594	66/00
  20:48h vs. 40:24h	112/3	108/6	3/687	29/11	3	3	0/1791	66/00
  20:48h vs. 40:48h	112/3	109/2	3/077	29/11	3	3	0/1495	66/00
  20:48h vs. 40:72h	112/3	117/6	-5/339	29/11	3	3	0/2594	66/00
  20:48h vs. 50:24h	112/3	105/2	7/135	29/11	3	3	0/3466	66/00
  20:48h vs. 50:48h	112/3	107/7	4/615	29/11	3	3	0/2242	66/00
  20:48h vs. 50:72h	112/3	114/7	-2/398	29/11	3	3	0/1165	66/00
  20:48h vs. 60:24h	112/3	103/4	8/859	29/11	3	3	0/4304	66/00
  20:48h vs. 60:48h	112/3	107/7	4/615	29/11	3	3	0/2242	66/00
  20:48h vs. 60:72h	112/3	110/3	2/014	29/11	3	3	0/09782	66/00
  20:48h vs. 70:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  20:48h vs. 70:48h	112/3	104/6	7/692	29/11	3	3	0/3737	66/00
  20:48h vs. 70:72h	112/3	107/4	4/955	29/11	3	3	0/2407	66/00
  20:48h vs. 80:24h	112/3	98/28	14/03	29/11	3	3	0/6817	66/00
  20:48h vs. 80:48h	112/3	106/2	6/154	29/11	3	3	0/2990	66/00
  20:48h vs. 80:72h	112/3	107/4	4/955	29/11	3	3	0/2407	66/00
  20:48h vs. 90:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  20:48h vs. 90:48h	112/3	104/6	7/692	29/11	3	3	0/3737	66/00
  20:48h vs. 90:72h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  20:48h vs. 100:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  20:48h vs. 100:48h	112/3	101/5	10/77	29/11	3	3	0/5232	66/00
  20:48h vs. 100:72h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  20:72h vs. 30:24h	127/9	108/6	19/32	29/11	3	3	0/9386	66/00
  20:72h vs. 30:48h	127/9	112/3	15/63	29/11	3	3	0/7595	66/00
  20:72h vs. 30:72h	127/9	117/6	10/29	29/11	3	3	0/5001	66/00
  20:72h vs. 40:24h	127/9	108/6	19/32	29/11	3	3	0/9386	66/00
  20:72h vs. 40:48h	127/9	109/2	18/71	29/11	3	3	0/9090	66/00
  20:72h vs. 40:72h	127/9	117/6	10/29	29/11	3	3	0/5001	66/00
  20:72h vs. 50:24h	127/9	105/2	22/77	29/11	3	3	1/106	66/00
  20:72h vs. 50:48h	127/9	107/7	20/25	29/11	3	3	0/9837	66/00
  20:72h vs. 50:72h	127/9	114/7	13/24	29/11	3	3	0/6430	66/00
  20:72h vs. 60:24h	127/9	103/4	24/49	29/11	3	3	1/190	66/00
  20:72h vs. 60:48h	127/9	107/7	20/25	29/11	3	3	0/9837	66/00
  20:72h vs. 60:72h	127/9	110/3	17/65	29/11	3	3	0/8573	66/00
  20:72h vs. 70:24h	127/9	100/0	27/94	29/11	3	3	1/357	66/00
  20:72h vs. 70:48h	127/9	104/6	23/33	29/11	3	3	1/133	66/00
  20:72h vs. 70:72h	127/9	107/4	20/59	29/11	3	3	1/000	66/00
  20:72h vs. 80:24h	127/9	98/28	29/67	29/11	3	3	1/441	66/00
  20:72h vs. 80:48h	127/9	106/2	21/79	29/11	3	3	1/058	66/00
  20:72h vs. 80:72h	127/9	107/4	20/59	29/11	3	3	1/000	66/00
  20:72h vs. 90:24h	127/9	100/0	27/94	29/11	3	3	1/357	66/00
  20:72h vs. 90:48h	127/9	104/6	23/33	29/11	3	3	1/133	66/00
  20:72h vs. 90:72h	127/9	100/0	27/94	29/11	3	3	1/357	66/00
  20:72h vs. 100:24h	127/9	100/0	27/94	29/11	3	3	1/357	66/00
  20:72h vs. 100:48h	127/9	101/5	26/40	29/11	3	3	1/283	66/00
  20:72h vs. 100:72h	127/9	100/0	27/94	29/11	3	3	1/357	66/00
  30:24h vs. 30:48h	108/6	112/3	-3/687	29/11	3	3	0/1791	66/00
  30:24h vs. 30:72h	108/6	117/6	-9/026	29/11	3	3	0/4385	66/00
  30:24h vs. 40:24h	108/6	108/6	0/000	29/11	3	3	0/000	66/00
  30:24h vs. 40:48h	108/6	109/2	-0/6101	29/11	3	3	0/02964	66/00
  30:24h vs. 40:72h	108/6	117/6	-9/026	29/11	3	3	0/4385	66/00
  30:24h vs. 50:24h	108/6	105/2	3/448	29/11	3	3	0/1675	66/00
  30:24h vs. 50:48h	108/6	107/7	0/9284	29/11	3	3	0/04510	66/00
  30:24h vs. 50:72h	108/6	114/7	-6/085	29/11	3	3	0/2956	66/00
  30:24h vs. 60:24h	108/6	103/4	5/172	29/11	3	3	0/2513	66/00
  30:24h vs. 60:48h	108/6	107/7	0/9284	29/11	3	3	0/04510	66/00
  30:24h vs. 60:72h	108/6	110/3	-1/673	29/11	3	3	0/08130	66/00
  30:24h vs. 70:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  30:24h vs. 70:48h	108/6	104/6	4/005	29/11	3	3	0/1946	66/00
  30:24h vs. 70:72h	108/6	107/4	1/268	29/11	3	3	0/06159	66/00
  30:24h vs. 80:24h	108/6	98/28	10/34	29/11	3	3	0/5026	66/00
  30:24h vs. 80:48h	108/6	106/2	2/467	29/11	3	3	0/1198	66/00
  30:24h vs. 80:72h	108/6	107/4	1/268	29/11	3	3	0/06159	66/00
  30:24h vs. 90:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  30:24h vs. 90:48h	108/6	104/6	4/005	29/11	3	3	0/1946	66/00
  30:24h vs. 90:72h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  30:24h vs. 100:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  30:24h vs. 100:48h	108/6	101/5	7/082	29/11	3	3	0/3441	66/00
  30:24h vs. 100:72h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  30:48h vs. 30:72h	112/3	117/6	-5/339	29/11	3	3	0/2594	66/00
  30:48h vs. 40:24h	112/3	108/6	3/687	29/11	3	3	0/1791	66/00
  30:48h vs. 40:48h	112/3	109/2	3/077	29/11	3	3	0/1495	66/00
  30:48h vs. 40:72h	112/3	117/6	-5/339	29/11	3	3	0/2594	66/00
  30:48h vs. 50:24h	112/3	105/2	7/135	29/11	3	3	0/3466	66/00
  30:48h vs. 50:48h	112/3	107/7	4/615	29/11	3	3	0/2242	66/00
  30:48h vs. 50:72h	112/3	114/7	-2/398	29/11	3	3	0/1165	66/00
  30:48h vs. 60:24h	112/3	103/4	8/859	29/11	3	3	0/4304	66/00
  30:48h vs. 60:48h	112/3	107/7	4/615	29/11	3	3	0/2242	66/00
  30:48h vs. 60:72h	112/3	110/3	2/014	29/11	3	3	0/09782	66/00
  30:48h vs. 70:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  30:48h vs. 70:48h	112/3	104/6	7/692	29/11	3	3	0/3737	66/00
  30:48h vs. 70:72h	112/3	107/4	4/955	29/11	3	3	0/2407	66/00
  30:48h vs. 80:24h	112/3	98/28	14/03	29/11	3	3	0/6817	66/00
  30:48h vs. 80:48h	112/3	106/2	6/154	29/11	3	3	0/2990	66/00
  30:48h vs. 80:72h	112/3	107/4	4/955	29/11	3	3	0/2407	66/00
  30:48h vs. 90:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  30:48h vs. 90:48h	112/3	104/6	7/692	29/11	3	3	0/3737	66/00
  30:48h vs. 90:72h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  30:48h vs. 100:24h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  30:48h vs. 100:48h	112/3	101/5	10/77	29/11	3	3	0/5232	66/00
  30:48h vs. 100:72h	112/3	100/0	12/31	29/11	3	3	0/5979	66/00
  30:72h vs. 40:24h	117/6	108/6	9/026	29/11	3	3	0/4385	66/00
  30:72h vs. 40:48h	117/6	109/2	8/416	29/11	3	3	0/4089	66/00
  30:72h vs. 40:72h	117/6	117/6	0/000	29/11	3	3	0/000	66/00
  30:72h vs. 50:24h	117/6	105/2	12/47	29/11	3	3	0/6061	66/00
  30:72h vs. 50:48h	117/6	107/7	9/955	29/11	3	3	0/4836	66/00
  30:72h vs. 50:72h	117/6	114/7	2/941	29/11	3	3	0/1429	66/00
  30:72h vs. 60:24h	117/6	103/4	14/20	29/11	3	3	0/6898	66/00
  30:72h vs. 60:48h	117/6	107/7	9/955	29/11	3	3	0/4836	66/00
  30:72h vs. 60:72h	117/6	110/3	7/353	29/11	3	3	0/3572	66/00
  30:72h vs. 70:24h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  30:72h vs. 70:48h	117/6	104/6	13/03	29/11	3	3	0/6331	66/00
  30:72h vs. 70:72h	117/6	107/4	10/29	29/11	3	3	0/5001	66/00
  30:72h vs. 80:24h	117/6	98/28	19/37	29/11	3	3	0/9411	66/00
  30:72h vs. 80:48h	117/6	106/2	11/49	29/11	3	3	0/5584	66/00
  30:72h vs. 80:72h	117/6	107/4	10/29	29/11	3	3	0/5001	66/00
  30:72h vs. 90:24h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  30:72h vs. 90:48h	117/6	104/6	13/03	29/11	3	3	0/6331	66/00
  30:72h vs. 90:72h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  30:72h vs. 100:24h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  30:72h vs. 100:48h	117/6	101/5	16/11	29/11	3	3	0/7826	66/00
  30:72h vs. 100:72h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  40:24h vs. 40:48h	108/6	109/2	-0/6101	29/11	3	3	0/02964	66/00
  40:24h vs. 40:72h	108/6	117/6	-9/026	29/11	3	3	0/4385	66/00
  40:24h vs. 50:24h	108/6	105/2	3/448	29/11	3	3	0/1675	66/00
  40:24h vs. 50:48h	108/6	107/7	0/9284	29/11	3	3	0/04510	66/00
  40:24h vs. 50:72h	108/6	114/7	-6/085	29/11	3	3	0/2956	66/00
  40:24h vs. 60:24h	108/6	103/4	5/172	29/11	3	3	0/2513	66/00
  40:24h vs. 60:48h	108/6	107/7	0/9284	29/11	3	3	0/04510	66/00
  40:24h vs. 60:72h	108/6	110/3	-1/673	29/11	3	3	0/08130	66/00
  40:24h vs. 70:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  40:24h vs. 70:48h	108/6	104/6	4/005	29/11	3	3	0/1946	66/00
  40:24h vs. 70:72h	108/6	107/4	1/268	29/11	3	3	0/06159	66/00
  40:24h vs. 80:24h	108/6	98/28	10/34	29/11	3	3	0/5026	66/00
  40:24h vs. 80:48h	108/6	106/2	2/467	29/11	3	3	0/1198	66/00
  40:24h vs. 80:72h	108/6	107/4	1/268	29/11	3	3	0/06159	66/00
  40:24h vs. 90:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  40:24h vs. 90:48h	108/6	104/6	4/005	29/11	3	3	0/1946	66/00
  40:24h vs. 90:72h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  40:24h vs. 100:24h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  40:24h vs. 100:48h	108/6	101/5	7/082	29/11	3	3	0/3441	66/00
  40:24h vs. 100:72h	108/6	100/0	8/621	29/11	3	3	0/4188	66/00
  40:48h vs. 40:72h	109/2	117/6	-8/416	29/11	3	3	0/4089	66/00
  40:48h vs. 50:24h	109/2	105/2	4/058	29/11	3	3	0/1972	66/00
  40:48h vs. 50:48h	109/2	107/7	1/538	29/11	3	3	0/07474	66/00
  40:48h vs. 50:72h	109/2	114/7	-5/475	29/11	3	3	0/2660	66/00
  40:48h vs. 60:24h	109/2	103/4	5/782	29/11	3	3	0/2809	66/00
  40:48h vs. 60:48h	109/2	107/7	1/538	29/11	3	3	0/07474	66/00
  40:48h vs. 60:72h	109/2	110/3	-1/063	29/11	3	3	0/05166	66/00
  40:48h vs. 70:24h	109/2	100/0	9/231	29/11	3	3	0/4485	66/00
  40:48h vs. 70:48h	109/2	104/6	4/615	29/11	3	3	0/2242	66/00
  40:48h vs. 70:72h	109/2	107/4	1/878	29/11	3	3	0/09123	66/00
  40:48h vs. 80:24h	109/2	98/28	10/95	29/11	3	3	0/5322	66/00
  40:48h vs. 80:48h	109/2	106/2	3/077	29/11	3	3	0/1495	66/00
  40:48h vs. 80:72h	109/2	107/4	1/878	29/11	3	3	0/09123	66/00
  40:48h vs. 90:24h	109/2	100/0	9/231	29/11	3	3	0/4485	66/00
  40:48h vs. 90:48h	109/2	104/6	4/615	29/11	3	3	0/2242	66/00
  40:48h vs. 90:72h	109/2	100/0	9/231	29/11	3	3	0/4485	66/00
  40:48h vs. 100:24h	109/2	100/0	9/231	29/11	3	3	0/4485	66/00
  40:48h vs. 100:48h	109/2	101/5	7/692	29/11	3	3	0/3737	66/00
  40:48h vs. 100:72h	109/2	100/0	9/231	29/11	3	3	0/4485	66/00
  40:72h vs. 50:24h	117/6	105/2	12/47	29/11	3	3	0/6061	66/00
  40:72h vs. 50:48h	117/6	107/7	9/955	29/11	3	3	0/4836	66/00
  40:72h vs. 50:72h	117/6	114/7	2/941	29/11	3	3	0/1429	66/00
  40:72h vs. 60:24h	117/6	103/4	14/20	29/11	3	3	0/6898	66/00
  40:72h vs. 60:48h	117/6	107/7	9/955	29/11	3	3	0/4836	66/00
  40:72h vs. 60:72h	117/6	110/3	7/353	29/11	3	3	0/3572	66/00
  40:72h vs. 70:24h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  40:72h vs. 70:48h	117/6	104/6	13/03	29/11	3	3	0/6331	66/00
  40:72h vs. 70:72h	117/6	107/4	10/29	29/11	3	3	0/5001	66/00
  40:72h vs. 80:24h	117/6	98/28	19/37	29/11	3	3	0/9411	66/00
  40:72h vs. 80:48h	117/6	106/2	11/49	29/11	3	3	0/5584	66/00
  40:72h vs. 80:72h	117/6	107/4	10/29	29/11	3	3	0/5001	66/00
  40:72h vs. 90:24h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  40:72h vs. 90:48h	117/6	104/6	13/03	29/11	3	3	0/6331	66/00
  40:72h vs. 90:72h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  40:72h vs. 100:24h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  40:72h vs. 100:48h	117/6	101/5	16/11	29/11	3	3	0/7826	66/00
  40:72h vs. 100:72h	117/6	100/0	17/65	29/11	3	3	0/8573	66/00
  50:24h vs. 50:48h	105/2	107/7	-2/520	29/11	3	3	0/1224	66/00
  50:24h vs. 50:72h	105/2	114/7	-9/533	29/11	3	3	0/4632	66/00
  50:24h vs. 60:24h	105/2	103/4	1/724	29/11	3	3	0/08376	66/00
  50:24h vs. 60:48h	105/2	107/7	-2/520	29/11	3	3	0/1224	66/00
  50:24h vs. 60:72h	105/2	110/3	-5/122	29/11	3	3	0/2488	66/00
  50:24h vs. 70:24h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  50:24h vs. 70:48h	105/2	104/6	0/5570	29/11	3	3	0/02706	66/00
  50:24h vs. 70:72h	105/2	107/4	-2/181	29/11	3	3	0/1059	66/00
  50:24h vs. 80:24h	105/2	98/28	6/897	29/11	3	3	0/3351	66/00
  50:24h vs. 80:48h	105/2	106/2	-0/9814	29/11	3	3	0/04768	66/00
  50:24h vs. 80:72h	105/2	107/4	-2/181	29/11	3	3	0/1059	66/00
  50:24h vs. 90:24h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  50:24h vs. 90:48h	105/2	104/6	0/5570	29/11	3	3	0/02706	66/00
  50:24h vs. 90:72h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  50:24h vs. 100:24h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  50:24h vs. 100:48h	105/2	101/5	3/634	29/11	3	3	0/1765	66/00
  50:24h vs. 100:72h	105/2	100/0	5/172	29/11	3	3	0/2513	66/00
  50:48h vs. 50:72h	107/7	114/7	-7/014	29/11	3	3	0/3407	66/00
  50:48h vs. 60:24h	107/7	103/4	4/244	29/11	3	3	0/2062	66/00
  50:48h vs. 60:48h	107/7	107/7	0/000	29/11	3	3	0/000	66/00
  50:48h vs. 60:72h	107/7	110/3	-2/602	29/11	3	3	0/1264	66/00
  50:48h vs. 70:24h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  50:48h vs. 70:48h	107/7	104/6	3/077	29/11	3	3	0/1495	66/00
  50:48h vs. 70:72h	107/7	107/4	0/3394	29/11	3	3	0/01649	66/00
  50:48h vs. 80:24h	107/7	98/28	9/416	29/11	3	3	0/4575	66/00
  50:48h vs. 80:48h	107/7	106/2	1/538	29/11	3	3	0/07474	66/00
  50:48h vs. 80:72h	107/7	107/4	0/3394	29/11	3	3	0/01649	66/00
  50:48h vs. 90:24h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  50:48h vs. 90:48h	107/7	104/6	3/077	29/11	3	3	0/1495	66/00
  50:48h vs. 90:72h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  50:48h vs. 100:24h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  50:48h vs. 100:48h	107/7	101/5	6/154	29/11	3	3	0/2990	66/00
  50:48h vs. 100:72h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  50:72h vs. 60:24h	114/7	103/4	11/26	29/11	3	3	0/5469	66/00
  50:72h vs. 60:48h	114/7	107/7	7/014	29/11	3	3	0/3407	66/00
  50:72h vs. 60:72h	114/7	110/3	4/412	29/11	3	3	0/2143	66/00
  50:72h vs. 70:24h	114/7	100/0	14/71	29/11	3	3	0/7144	66/00
  50:72h vs. 70:48h	114/7	104/6	10/09	29/11	3	3	0/4902	66/00
  50:72h vs. 70:72h	114/7	107/4	7/353	29/11	3	3	0/3572	66/00
  50:72h vs. 80:24h	114/7	98/28	16/43	29/11	3	3	0/7982	66/00
  50:72h vs. 80:48h	114/7	106/2	8/552	29/11	3	3	0/4155	66/00
  50:72h vs. 80:72h	114/7	107/4	7/353	29/11	3	3	0/3572	66/00
  50:72h vs. 90:24h	114/7	100/0	14/71	29/11	3	3	0/7144	66/00
  50:72h vs. 90:48h	114/7	104/6	10/09	29/11	3	3	0/4902	66/00
  50:72h vs. 90:72h	114/7	100/0	14/71	29/11	3	3	0/7144	66/00
  50:72h vs. 100:24h	114/7	100/0	14/71	29/11	3	3	0/7144	66/00
  50:72h vs. 100:48h	114/7	101/5	13/17	29/11	3	3	0/6397	66/00
  50:72h vs. 100:72h	114/7	100/0	14/71	29/11	3	3	0/7144	66/00
  60:24h vs. 60:48h	103/4	107/7	-4/244	29/11	3	3	0/2062	66/00
  60:24h vs. 60:72h	103/4	110/3	-6/846	29/11	3	3	0/3326	66/00
  60:24h vs. 70:24h	103/4	100/0	3/448	29/11	3	3	0/1675	66/00
  60:24h vs. 70:48h	103/4	104/6	-1/167	29/11	3	3	0/05670	66/00
  60:24h vs. 70:72h	103/4	107/4	-3/905	29/11	3	3	0/1897	66/00
  60:24h vs. 80:24h	103/4	98/28	5/172	29/11	3	3	0/2513	66/00
  60:24h vs. 80:48h	103/4	106/2	-2/706	29/11	3	3	0/1314	66/00
  60:24h vs. 80:72h	103/4	107/4	-3/905	29/11	3	3	0/1897	66/00
  60:24h vs. 90:24h	103/4	100/0	3/448	29/11	3	3	0/1675	66/00
  60:24h vs. 90:48h	103/4	104/6	-1/167	29/11	3	3	0/05670	66/00
  60:24h vs. 90:72h	103/4	100/0	3/448	29/11	3	3	0/1675	66/00
  60:24h vs. 100:24h	103/4	100/0	3/448	29/11	3	3	0/1675	66/00
  60:24h vs. 100:48h	103/4	101/5	1/910	29/11	3	3	0/09278	66/00
  60:24h vs. 100:72h	103/4	100/0	3/448	29/11	3	3	0/1675	66/00
  60:48h vs. 60:72h	107/7	110/3	-2/602	29/11	3	3	0/1264	66/00
  60:48h vs. 70:24h	107/7	100/0	7/692	29/11	3	3	0/3737	66/00
  60:48h vs. 70:48h	107/7	104/6	3/077	29/11	3	3	0/1495	66/00
  60:48h vs. 70:72h	107/7	107/4	0/3394	29/11	3	3	0/01649	66/00
