								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  10:24h vs. 80:48h	2/467	-113/1 to 118/1	No	ns	>0/9999			
  10:24h vs. 80:72h	1/268	-114/3 to 116/9	No	ns	>0/9999			
  10:24h vs. 90:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  10:24h vs. 90:48h	4/005	-111/6 to 119/6	No	ns	>0/9999			
  10:24h vs. 90:72h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  10:24h vs. 100:24h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  10:24h vs. 100:48h	7/082	-108/5 to 122/7	No	ns	>0/9999			
  10:24h vs. 100:72h	8/621	-107/0 to 124/2	No	ns	>0/9999			
  10:48h vs. 10:72h	-18/57	-134/2 to 97/02	No	ns	>0/9999			
  10:48h vs. 20:24h	7/135	-108/5 to 122/7	No	ns	>0/9999			
  10:48h vs. 20:48h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  10:48h vs. 20:72h	-15/63	-131/2 to 99/96	No	ns	>0/9999			
  10:48h vs. 30:24h	3/687	-111/9 to 119/3	No	ns	>0/9999			
  10:48h vs. 30:48h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  10:48h vs. 30:72h	-5/339	-120/9 to 110/3	No	ns	>0/9999			
  10:48h vs. 40:24h	3/687	-111/9 to 119/3	No	ns	>0/9999			
  10:48h vs. 40:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  10:48h vs. 40:72h	-5/339	-120/9 to 110/3	No	ns	>0/9999			
  10:48h vs. 50:24h	7/135	-108/5 to 122/7	No	ns	>0/9999			
  10:48h vs. 50:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  10:48h vs. 50:72h	-2/398	-118/0 to 113/2	No	ns	>0/9999			
  10:48h vs. 60:24h	8/859	-106/7 to 124/5	No	ns	>0/9999			
  10:48h vs. 60:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  10:48h vs. 60:72h	2/014	-113/6 to 117/6	No	ns	>0/9999			
  10:48h vs. 70:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  10:48h vs. 70:48h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  10:48h vs. 70:72h	4/955	-110/6 to 120/5	No	ns	>0/9999			
  10:48h vs. 80:24h	14/03	-101/6 to 129/6	No	ns	>0/9999			
  10:48h vs. 80:48h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  10:48h vs. 80:72h	4/955	-110/6 to 120/5	No	ns	>0/9999			
  10:48h vs. 90:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  10:48h vs. 90:48h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  10:48h vs. 90:72h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  10:48h vs. 100:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  10:48h vs. 100:48h	10/77	-104/8 to 126/4	No	ns	>0/9999			
  10:48h vs. 100:72h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  10:72h vs. 20:24h	25/71	-89/88 to 141/3	No	ns	>0/9999			
  10:72h vs. 20:48h	18/57	-97/02 to 134/2	No	ns	>0/9999			
  10:72h vs. 20:72h	2/941	-112/7 to 118/5	No	ns	>0/9999			
  10:72h vs. 30:24h	22/26	-93/33 to 137/9	No	ns	>0/9999			
  10:72h vs. 30:48h	18/57	-97/02 to 134/2	No	ns	>0/9999			
  10:72h vs. 30:72h	13/24	-102/4 to 128/8	No	ns	>0/9999			
  10:72h vs. 40:24h	22/26	-93/33 to 137/9	No	ns	>0/9999			
  10:72h vs. 40:48h	21/65	-93/94 to 137/2	No	ns	>0/9999			
  10:72h vs. 40:72h	13/24	-102/4 to 128/8	No	ns	>0/9999			
  10:72h vs. 50:24h	25/71	-89/88 to 141/3	No	ns	>0/9999			
  10:72h vs. 50:48h	23/19	-92/40 to 138/8	No	ns	>0/9999			
  10:72h vs. 50:72h	16/18	-99/42 to 131/8	No	ns	>0/9999			
  10:72h vs. 60:24h	27/43	-88/16 to 143/0	No	ns	>0/9999			
  10:72h vs. 60:48h	23/19	-92/40 to 138/8	No	ns	>0/9999			
  10:72h vs. 60:72h	20/59	-95/01 to 136/2	No	ns	>0/9999			
  10:72h vs. 70:24h	30/88	-84/71 to 146/5	No	ns	>0/9999			
  10:72h vs. 70:48h	26/27	-89/33 to 141/9	No	ns	>0/9999			
  10:72h vs. 70:72h	23/53	-92/06 to 139/1	No	ns	>0/9999			
  10:72h vs. 80:24h	32/61	-82/99 to 148/2	No	ns	>0/9999			
  10:72h vs. 80:48h	24/73	-90/87 to 140/3	No	ns	>0/9999			
  10:72h vs. 80:72h	23/53	-92/06 to 139/1	No	ns	>0/9999			
  10:72h vs. 90:24h	30/88	-84/71 to 146/5	No	ns	>0/9999			
  10:72h vs. 90:48h	26/27	-89/33 to 141/9	No	ns	>0/9999			
  10:72h vs. 90:72h	30/88	-84/71 to 146/5	No	ns	>0/9999			
  10:72h vs. 100:24h	30/88	-84/71 to 146/5	No	ns	>0/9999			
  10:72h vs. 100:48h	29/34	-86/25 to 144/9	No	ns	>0/9999			
  10:72h vs. 100:72h	30/88	-84/71 to 146/5	No	ns	>0/9999			
  20:24h vs. 20:48h	-7/135	-122/7 to 108/5	No	ns	>0/9999			
  20:24h vs. 20:72h	-22/77	-138/4 to 92/83	No	ns	>0/9999			
  20:24h vs. 30:24h	-3/448	-119/0 to 112/1	No	ns	>0/9999			
  20:24h vs. 30:48h	-7/135	-122/7 to 108/5	No	ns	>0/9999			
  20:24h vs. 30:72h	-12/47	-128/1 to 103/1	No	ns	>0/9999			
  20:24h vs. 40:24h	-3/448	-119/0 to 112/1	No	ns	>0/9999			
  20:24h vs. 40:48h	-4/058	-119/7 to 111/5	No	ns	>0/9999			
  20:24h vs. 40:72h	-12/47	-128/1 to 103/1	No	ns	>0/9999			
  20:24h vs. 50:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  20:24h vs. 50:48h	-2/520	-118/1 to 113/1	No	ns	>0/9999			
  20:24h vs. 50:72h	-9/533	-125/1 to 106/1	No	ns	>0/9999			
  20:24h vs. 60:24h	1/724	-113/9 to 117/3	No	ns	>0/9999			
  20:24h vs. 60:48h	-2/520	-118/1 to 113/1	No	ns	>0/9999			
  20:24h vs. 60:72h	-5/122	-120/7 to 110/5	No	ns	>0/9999			
  20:24h vs. 70:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  20:24h vs. 70:48h	0/5570	-115/0 to 116/2	No	ns	>0/9999			
  20:24h vs. 70:72h	-2/181	-117/8 to 113/4	No	ns	>0/9999			
  20:24h vs. 80:24h	6/897	-108/7 to 122/5	No	ns	>0/9999			
  20:24h vs. 80:48h	-0/9814	-116/6 to 114/6	No	ns	>0/9999			
  20:24h vs. 80:72h	-2/181	-117/8 to 113/4	No	ns	>0/9999			
  20:24h vs. 90:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  20:24h vs. 90:48h	0/5570	-115/0 to 116/2	No	ns	>0/9999			
  20:24h vs. 90:72h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  20:24h vs. 100:24h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  20:24h vs. 100:48h	3/634	-112/0 to 119/2	No	ns	>0/9999			
  20:24h vs. 100:72h	5/172	-110/4 to 120/8	No	ns	>0/9999			
  20:48h vs. 20:72h	-15/63	-131/2 to 99/96	No	ns	>0/9999			
  20:48h vs. 30:24h	3/687	-111/9 to 119/3	No	ns	>0/9999			
  20:48h vs. 30:48h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  20:48h vs. 30:72h	-5/339	-120/9 to 110/3	No	ns	>0/9999			
  20:48h vs. 40:24h	3/687	-111/9 to 119/3	No	ns	>0/9999			
  20:48h vs. 40:48h	3/077	-112/5 to 118/7	No	ns	>0/9999			
  20:48h vs. 40:72h	-5/339	-120/9 to 110/3	No	ns	>0/9999			
  20:48h vs. 50:24h	7/135	-108/5 to 122/7	No	ns	>0/9999			
  20:48h vs. 50:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  20:48h vs. 50:72h	-2/398	-118/0 to 113/2	No	ns	>0/9999			
  20:48h vs. 60:24h	8/859	-106/7 to 124/5	No	ns	>0/9999			
  20:48h vs. 60:48h	4/615	-111/0 to 120/2	No	ns	>0/9999			
  20:48h vs. 60:72h	2/014	-113/6 to 117/6	No	ns	>0/9999			
  20:48h vs. 70:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  20:48h vs. 70:48h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  20:48h vs. 70:72h	4/955	-110/6 to 120/5	No	ns	>0/9999			
  20:48h vs. 80:24h	14/03	-101/6 to 129/6	No	ns	>0/9999			
  20:48h vs. 80:48h	6/154	-109/4 to 121/7	No	ns	>0/9999			
  20:48h vs. 80:72h	4/955	-110/6 to 120/5	No	ns	>0/9999			
  20:48h vs. 90:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  20:48h vs. 90:48h	7/692	-107/9 to 123/3	No	ns	>0/9999			
  20:48h vs. 90:72h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  20:48h vs. 100:24h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  20:48h vs. 100:48h	10/77	-104/8 to 126/4	No	ns	>0/9999			
  20:48h vs. 100:72h	12/31	-103/3 to 127/9	No	ns	>0/9999			
  20:72h vs. 30:24h	19/32	-96/27 to 134/9	No	ns	>0/9999			
  20:72h vs. 30:48h	15/63	-99/96 to 131/2	No	ns	>0/9999			
  20:72h vs. 30:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
